Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages**","All causes, by age (years), All Ages**, flag","All causes, by age (years), >=65","All causes, by age (years), >=65, flag","All causes, by age (years), 45-64","All causes, by age (years), 45-64, flag","All causes, by age (years), 25-44","All causes, by age (years), 25-44, flag","All causes, by age (years), 1-24","All causes, by age (years), 1-24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I Total,"P&I Total, flag",Location 1,Location 2
"Wichita, KS",2016,11,106,,75,,26,,1,,4,,,-,10,,"Wichita, KS (39.960481, -75.605214)",
"Mobile, AL",2016,11,84,,50,,21,,4,,4,,4,,1,,"Mobile, AL (34.661541, -77.695461)",
"Atlanta, GA",2016,11,183,,120,,48,,10,,3,,2,,10,,"Atlanta, GA (33.748547, -84.391502)",
"Knoxville, TN",2016,11,98,,69,,20,,6,,1,,2,,12,,"Knoxville, TN (35.962631, -83.916677)",
"Indianapolis, IN",2016,11,204,,131,,48,,17,,5,,3,,27,,"Indianapolis, IN (39.76845, -86.156212)",
"Wilmington, DE",2016,11,14,,14,,,-,,-,,-,,-,1,,"Wilmington, DE (39.744432, -75.5451)",
"New York City, NY",2016,11,1166,,842,,254,,50,,12,,8,,53,,"New York City, NY (40.123164, -75.333718)",
"Trenton, NJ",2016,11,12,,6,,5,,1,,,-,,-,,-,"Trenton, NJ (40.220572, -74.759709)",
"Lynn, MA",2016,11,8,,5,,2,,1,,,-,,-,,-,"Lynn, MA (20.841375, -156.933118)",
"Colorado Springs, CO",2016,11,54,,30,,8,,11,,5,,,-,,-,"Colorado Springs, CO (38.835224, -104.819798)",
"Elizabeth, NJ",2016,11,9,,7,,2,,,-,,-,,-,1,,"Elizabeth, NJ (40.661927, -74.211653)",
"Miami, FL",2016,11,76,,66,,8,,1,,1,,,-,7,,"Miami, FL (44.977479, -93.264346)",
"Minneapolis, MN",2016,11,67,,35,,18,,6,,2,,6,,5,,"Minneapolis, MN (44.977479, -93.264346)",
"Chicago, IL",2016,11,275,,172,,65,,24,,12,,2,,12,,"Chicago, IL (41.775002, -87.696388)",
"Kansas City, KS",2016,11,32,,20,,10,,2,,,-,,-,2,,"Kansas City, KS (39.099792, -94.578559)",
"Schenectady, NY",2016,11,18,,11,,2,,3,,2,,,-,2,,"Schenectady, NY (42.814219, -73.944103)",
"Duluth, MN",2016,11,32,,22,,8,,,-,2,,,-,6,,"Duluth, MN (28.917512, -81.221278)",
"Buffalo, NY",2016,11,87,,59,,23,,2,,1,,2,,6,,"Buffalo, NY (39.945422, -78.64671)",
"St. Paul, MN",2016,11,66,,46,,16,,1,,1,,2,,6,,"St. Paul, MN (44.943719, -93.094281)",
"Cincinnati, OH",2016,11,91,,54,,32,,5,,,-,,-,7,,"Cincinnati, OH (39.104427, -84.513808)",
"Jacksonville, FL",2016,11,181,,113,,43,,21,,2,,2,,9,,"Jacksonville, FL (30.325968, -81.65676)",
"Bridgeport, CT",2016,11,38,,24,,10,,4,,,-,,-,2,,"Bridgeport, CT (41.179195, -73.189476)",
"Salt Lake City, UT",2016,11,130,,93,,25,,10,,2,,,-,8,,"Salt Lake City, UT (40.758478, -111.888142)",
"Philadelphia, PA",2016,11,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA (39.951061, -75.16562)",
"Montgomery, AL",2016,11,77,,44,,26,,7,,,-,,-,8,,"Montgomery, AL (32.376547, -86.299651)",
"Little Rock, AR",2016,11,133,,84,,33,,11,,1,,4,,13,,"Little Rock, AR (34.748745, -92.275105)",
"Tampa, FL",2016,11,151,,99,,39,,8,,2,,3,,8,,"Tampa, FL (37.8606, -78.804199)",
"Fort Wayne, IN",2016,11,91,,63,,20,,4,,2,,2,,3,,"Fort Wayne, IN (41.331128, -73.987189)",
"Omaha, NE",2016,11,91,,57,,29,,1,,2,,2,,8,,"Omaha, NE (46.07035, -93.666319)",
"San Jose, CA",2016,11,237,,184,,39,,5,,4,,5,,20,,"San Jose, CA (35.398134, -105.477067)",
"New Orleans, LA",2016,11,48,,19,,20,,7,,1,,1,,2,,"New Orleans, LA (29.950621, -90.074948)",
"Pueblo, CO",2016,11,23,,20,,2,,1,,,-,,-,2,,"Pueblo, CO (28.151559, -82.351822)",
"Yonkers, NY",2016,11,13,,10,,2,,1,,,-,,-,1,,"Yonkers, NY (40.932014, -73.896052)",
"Lexington, KY",2016,11,80,,55,,21,,2,,,-,2,,3,,"Lexington, KY (34.052238, -118.243344)",
"Newark, NJ",2016,11,33,,18,,8,,4,,3,,,-,1,,"Newark, NJ (41.433057, -71.460182)",
"Cambridge, MA",2016,11,10,,9,,,-,1,,,-,,-,1,,"Cambridge, MA (42.365248, -71.105015)",
"St. Louis, MO",2016,11,104,,62,,27,,10,,3,,1,,6,,"St. Louis, MO (38.630276, -90.200309)",
"San Diego, CA",2016,11,192,,144,,37,,8,,3,,,-,28,,"San Diego, CA (32.71576, -117.163817)",
"Houston, TX",2016,11,443,,277,,114,,26,,19,,7,,11,,"Houston, TX (29.760803, -95.369506)",
"Fort Worth, TX",2016,11,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX (32.739977, -97.340038)",
"Jersey City, NJ",2016,11,21,,15,,4,,2,,,-,,-,,-,"Jersey City, NJ (40.717495, -74.044111)",
"Santa Cruz, CA",2016,11,28,,20,,4,,2,,2,,,-,1,,"Santa Cruz, CA (32.71576, -117.163817)",
"Lowell, MA",2016,11,27,,19,,7,,1,,,-,,-,2,,"Lowell, MA (40.672798, -76.279404)",
"San Francisco, CA",2016,11,147,,101,,31,,8,,3,,4,,8,,"San Francisco, CA (37.78008, -122.420168)",
"Cleveland, OH",2016,11,266,,194,,58,,10,,2,,2,,13,,"Cleveland, OH (41.505546, -81.6915)",
"Kansas City, MO",2016,11,107,,64,,30,,6,,2,,4,,4,,"Kansas City, MO (39.099792, -94.578559)",
"Pittsburgh, PA_",2016,11,,U,,U,,U,,U,,U,,U,,U,"Pittsburgh, PA (40.442169, -79.994945)",
"Birmingham, AL",2016,11,178,,104,,51,,18,,2,,3,,17,,"Birmingham, AL (33.522859, -86.807705)",
"Chattanooga, TN",2016,11,92,,64,,21,,6,,1,,,-,3,,"Chattanooga, TN (35.045756, -85.308287)",
"Grand Rapids, MI",2016,11,70,,46,,17,,3,,1,,3,,10,,"Grand Rapids, MI (47.925705, -97.036068)",
"Providence, RI",2016,11,69,,51,,13,,3,,1,,1,,4,,"Providence, RI (41.824461, -71.412747)",
"Boise, ID",2016,11,79,,58,,13,,7,,1,,,-,3,,"Boise, ID (43.597772, -83.884521)",
"Charlotte, NC",2016,11,187,,126,,42,,17,,2,,,-,19,,"Charlotte, NC (35.222936, -80.840161)",
"Tulsa, OK",2016,11,150,,92,,38,,15,,3,,2,,12,,"Tulsa, OK (61.096484, -160.967455)",
"Albuquerque, NM",2016,11,154,,109,,30,,9,,4,,2,,17,,"Albuquerque, NM (35.084248, -106.649241)",
"Akron, OH",2016,11,60,,34,,17,,7,,2,,,-,4,,"Akron, OH (41.084821, -81.515607)",
"San Antonio, TX",2016,11,281,,187,,72,,17,,2,,3,,16,,"San Antonio, TX (29.425173, -98.494599)",
"Syracuse, NY",2016,11,100,,80,,15,,5,,,-,,-,9,,"Syracuse, NY (43.047945, -76.147448)",
"Tacoma, WA",2016,11,141,,99,,33,,4,,3,,2,,13,,"Tacoma, WA (32.221878, -110.971225)",
"Pasadena, CA",2016,11,42,,32,,9,,1,,,-,,-,6,,"Pasadena, CA (34.14955, -118.141452)",
"El Paso, TX",2016,11,125,,91,,21,,9,,2,,2,,7,,"El Paso, TX (31.76006, -106.492257)",
"Erie, PA",2016,11,32,,20,,9,,3,,,-,,-,2,,"Erie, PA (34.1647, -114.300301)",
"Peoria, IL",2016,11,75,,57,,16,,,-,2,,,-,13,,"Peoria, IL (32.283586, -90.10038)",
"Nashville, TN",2016,11,171,,114,,42,,7,,5,,3,,15,,"Nashville, TN (36.166687, -86.779932)",
"South Bend, IN",2016,11,82,,59,,15,,5,,,-,3,,9,,"South Bend, IN (41.675032, -86.251962)",
"Spokane, WA",2016,11,56,,35,,15,,3,,3,,,-,5,,"Spokane, WA (47.658999, -117.425022)",
"Baton Rouge, LA",2016,11,112,,72,,25,,7,,3,,5,,3,,"Baton Rouge, LA (30.443319, -91.187488)",
"Camden, NJ",2016,11,33,,15,,13,,1,,2,,2,,3,,"Camden, NJ (39.945208, -75.118833)",
"Scranton, PA",2016,11,25,,16,,7,,1,,,-,1,,2,,"Scranton, PA (41.409113, -75.662346)",
"Sacramento, CA",2016,11,229,,168,,49,,6,,5,,1,,31,,"Sacramento, CA (38.582087, -121.50012)",
"Worcester, MA",2016,11,61,,42,,17,,2,,,-,,-,6,,"Worcester, MA (42.262073, -71.802278)",
"New Bedford, MA",2016,11,16,,13,,3,,,-,,-,,-,3,,"New Bedford, MA (41.63405, -70.92766)",
"Reading, PA",2016,11,37,,29,,6,,1,,1,,,-,2,,"Reading, PA (40.336919, -75.921965)",
"Savannah, GA",2016,11,70,,47,,19,,1,,2,,1,,2,,"Savannah, GA (40.115007, -111.654713)",
"Des Moines, IA",2016,11,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA (41.588822, -93.620309)",
"Denver, CO",2016,11,27,,13,,7,,5,,,-,2,,,-,"Denver, CO (39.738453, -104.984853)",
"Tucson, AZ",2016,11,230,,180,,30,,15,,4,,1,,17,,"Tucson, AZ (35.167852, -103.726151)",
"Fresno, CA",2016,11,147,,104,,37,,5,,,-,1,,7,,"Fresno, CA (36.731654, -119.785856)",
"Ogden, UT",2016,11,47,,38,,7,,1,,,-,1,,3,,"Ogden, UT (41.222761, -111.970419)",
"Gary, IN",2016,11,13,,3,,8,,2,,,-,,-,,-,"Gary, IN (42.375508, -87.924192)",
"Springfield, MA",2016,11,38,,18,,6,,13,,1,,,-,,-,"Springfield, MA (39.79936, -89.643624)",
New England,2016,12,481,,328,,101,,36,,11,,5,,40,,,
Mid. Atlantic,2016,12,1889,,1337,,407,,96,,29,,19,,92,,,
E.N. Central,2016,12,2325,,1525,,576,,155,,42,,27,,173,,,
W.N. Central,2016,12,624,,400,,164,,37,,12,,10,,55,,,
S. Atlantic,2016,12,1260,,793,,334,,78,,33,,22,,101,,,
E.S. Central,2016,12,907,,578,,231,,60,,23,,14,,75,,,
W.S. Central,2016,12,1605,,1028,,375,,113,,51,,37,,100,,,
Mountain,2016,12,1300,,870,,302,,87,,28,,13,,121,,,
Pacific,2016,12,1731,,1236,,369,,79,,28,,19,,179,,,
Total_,2016,12,12122,,8095,,2859,,741,,257,,166,,936,,,
"St. Paul, MN",2016,12,58,,43,,12,,2,,,-,1,,5,,"St. Paul, MN (44.943719, -93.094281)",
"Pueblo, CO",2016,12,19,,15,,3,,1,,,-,,-,4,,"Pueblo, CO (28.151559, -82.351822)",
"New Orleans, LA",2016,12,84,,48,,18,,9,,6,,3,,3,,"New Orleans, LA (29.950621, -90.074948)",
"Trenton, NJ",2016,12,17,,11,,5,,1,,,-,,-,,-,"Trenton, NJ (40.220572, -74.759709)",
"Peoria, IL",2016,12,59,,41,,10,,5,,1,,2,,3,,"Peoria, IL (32.283586, -90.10038)",
"Kansas City, KS",2016,12,33,,14,,17,,1,,,-,1,,4,,"Kansas City, KS (39.099792, -94.578559)",
"Las Vegas, NV",2016,12,372,,250,,95,,19,,7,,1,,33,,"Las Vegas, NV (36.169202, -115.140597)",
"Shreveport, LA",2016,12,68,,51,,8,,5,,2,,2,,6,,"Shreveport, LA (32.51424, -93.747757)",
"Boise, ID",2016,12,68,,53,,14,,1,,,-,,-,5,,"Boise, ID (43.597772, -83.884521)",
"Canton, OH",2016,12,41,,22,,16,,1,,1,,1,,3,,"Canton, OH (39.945208, -75.118833)",
"Savannah, GA",2016,12,65,,45,,14,,4,,1,,1,,7,,"Savannah, GA (40.115007, -111.654713)",
"Jacksonville, FL",2016,12,172,,113,,42,,8,,4,,5,,17,,"Jacksonville, FL (30.325968, -81.65676)",
"New Bedford, MA",2016,12,26,,17,,6,,2,,1,,,-,,-,"New Bedford, MA (41.63405, -70.92766)",
"Berkeley, CA",2016,12,13,,9,,4,,,-,,-,,-,,-,"Berkeley, CA (40.692529, -73.990996)",
"Albuquerque, NM",2016,12,148,,100,,34,,11,,1,,2,,23,,"Albuquerque, NM (35.084248, -106.649241)",
"New Haven, CT",2016,12,30,,19,,7,,3,,1,,,-,3,,"New Haven, CT (42.856701, -78.741699)",
"Portland, OR",2016,12,,U,,U,,U,,U,,U,,U,,U,"Portland, OR (45.516018, -122.681425)",
"Youngstown, OH",2016,12,67,,52,,13,,1,,1,,,-,4,,"Youngstown, OH (41.100083, -80.649387)",
"Baton Rouge, LA",2016,12,84,,56,,20,,5,,2,,1,,3,,"Baton Rouge, LA (30.443319, -91.187488)",
"Tacoma, WA",2016,12,146,,114,,22,,8,,2,,,-,11,,"Tacoma, WA (32.221878, -110.971225)",
"Lynn, MA",2016,12,8,,6,,2,,,-,,-,,-,,-,"Lynn, MA (20.841375, -156.933118)",
"Tulsa, OK",2016,12,142,,96,,28,,12,,3,,3,,13,,"Tulsa, OK (61.096484, -160.967455)",
"Norfolk, VA",2016,12,43,,32,,7,,1,,,-,3,,1,,"Norfolk, VA (36.846164, -76.285913)",
"Miami, FL",2016,12,73,,55,,12,,5,,1,,,-,6,,"Miami, FL (44.977479, -93.264346)",
"Jersey City, NJ",2016,12,,U,,U,,U,,U,,U,,U,,U,"Jersey City, NJ (40.717495, -74.044111)",
"Glendale, CA",2016,12,40,,29,,10,,,-,1,,,-,11,,"Glendale, CA (34.148138, -118.246437)",
"Atlanta, GA",2016,12,168,,100,,44,,16,,6,,2,,7,,"Atlanta, GA (33.748547, -84.391502)",
"Little Rock, AR",2016,12,108,,69,,24,,7,,5,,3,,11,,"Little Rock, AR (34.748745, -92.275105)",
"Austin, TX",2016,12,105,,72,,21,,7,,3,,2,,10,,"Austin, TX (30.264979, -97.746598)",
"Cambridge, MA",2016,12,12,,9,,2,,1,,,-,,-,,-,"Cambridge, MA (42.365248, -71.105015)",
"Columbus, OH",2016,12,309,,211,,77,,13,,4,,4,,24,,"Columbus, OH (39.920765, -82.80058)",
"Fall River, MA",2016,12,29,,23,,3,,3,,,-,,-,2,,"Fall River, MA (41.701025, -71.155389)",
"Memphis, TN",2016,12,154,,89,,47,,11,,4,,3,,24,,"Memphis, TN (35.143378, -90.052136)",
"Pittsburgh, PA_",2016,12,,U,,U,,U,,U,,U,,U,,U,"Pittsburgh, PA (40.442169, -79.994945)",
"Newark, NJ",2016,12,41,,17,,18,,4,,1,,1,,1,,"Newark, NJ (41.433057, -71.460182)",
"Richmond, VA",2016,12,58,,35,,18,,3,,1,,1,,2,,"Richmond, VA (37.540759, -77.433932)",
"El Paso, TX",2016,12,84,,59,,12,,7,,3,,3,,3,,"El Paso, TX (31.76006, -106.492257)",
"Boston, MA",2016,12,146,,93,,33,,10,,7,,3,,12,,"Boston, MA (42.358894, -71.056742)",
"Schenectady, NY",2016,12,30,,20,,6,,2,,2,,,-,,-,"Schenectady, NY (42.814219, -73.944103)",
"Fort Wayne, IN",2016,12,109,,76,,23,,9,,,-,1,,7,,"Fort Wayne, IN (41.331128, -73.987189)",
"Lexington, KY",2016,12,53,,33,,15,,4,,,-,1,,1,,"Lexington, KY (34.052238, -118.243344)",
"Nashville, TN",2016,12,150,,89,,42,,11,,5,,3,,10,,"Nashville, TN (36.166687, -86.779932)",
"Toledo, OH",2016,12,83,,59,,18,,5,,,-,1,,6,,"Toledo, OH (41.655298, -83.535717)",
"Minneapolis, MN",2016,12,75,,44,,22,,5,,1,,3,,10,,"Minneapolis, MN (44.977479, -93.264346)",
"Wilmington, DE",2016,12,15,,12,,2,,1,,,-,,-,1,,"Wilmington, DE (39.744432, -75.5451)",
"Waterbury, CT",2016,12,21,,16,,5,,,-,,-,,-,3,,"Waterbury, CT (41.554261, -73.043069)",
"Corpus Christi, TX",2016,12,60,,38,,16,,4,,,-,2,,3,,"Corpus Christi, TX (27.796416, -97.404131)",
"Chattanooga, TN",2016,12,89,,59,,24,,4,,1,,1,,6,,"Chattanooga, TN (35.045756, -85.308287)",
"Denver, CO",2016,12,21,,14,,4,,1,,,-,2,,1,,"Denver, CO (39.738453, -104.984853)",
"Spokane, WA",2016,12,72,,43,,23,,2,,2,,2,,5,,"Spokane, WA (47.658999, -117.425022)",
"Fort Worth, TX",2016,12,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX (32.739977, -97.340038)",
"Rochester, NY",2016,12,176,,128,,36,,5,,5,,2,,17,,"Rochester, NY (43.155708, -77.612547)",
"Tucson, AZ",2016,12,215,,160,,39,,13,,3,,,-,6,,"Tucson, AZ (35.167852, -103.726151)",
"Cleveland, OH",2016,12,323,,232,,67,,19,,4,,1,,20,,"Cleveland, OH (41.505546, -81.6915)",
"Milwaukee, WI",2016,12,100,,69,,23,,6,,2,,,-,8,,"Milwaukee, WI (43.041072, -87.909421)",
"Buffalo, NY",2016,12,100,,74,,19,,5,,2,,,-,3,,"Buffalo, NY (39.945422, -78.64671)",
"Dayton, OH",2016,12,151,,105,,28,,16,,1,,1,,10,,"Dayton, OH (39.760982, -84.192203)",
"Utica, NY",2016,12,19,,15,,3,,,-,1,,,-,2,,"Utica, NY (39.800598, -104.997498)",
"Lincoln, NC",2016,12,54,,41,,12,,,-,1,,,-,3,,"Lincoln, NC (40.813599, -96.70261)",
"Akron, OH",2016,12,48,,30,,14,,,-,2,,2,,4,,"Akron, OH (41.084821, -81.515607)",
"Santa Cruz, CA",2016,12,33,,27,,4,,1,,1,,,-,2,,"Santa Cruz, CA (32.71576, -117.163817)",
"San Jose, CA",2016,12,219,,158,,48,,7,,4,,2,,11,,"San Jose, CA (35.398134, -105.477067)",
"Reading, PA",2016,12,33,,24,,6,,3,,,-,,-,1,,"Reading, PA (40.336919, -75.921965)",
"Houston, TX",2016,12,371,,197,,123,,27,,14,,10,,11,,"Houston, TX (29.760803, -95.369506)",
"Pasadena, CA",2016,12,35,,31,,3,,1,,,-,,-,5,,"Pasadena, CA (34.14955, -118.141452)",
"Elizabeth, NJ",2016,12,16,,7,,8,,1,,,-,,-,1,,"Elizabeth, NJ (40.661927, -74.211653)",
"Phoenix, AZ",2016,12,223,,131,,66,,15,,10,,1,,22,,"Phoenix, AZ (30.406931, -87.217578)",
"Lowell, MA",2016,12,21,,8,,6,,6,,,-,1,,2,,"Lowell, MA (40.672798, -76.279404)",
"Long Beach, CA",2016,12,83,,55,,21,,4,,2,,1,,14,,"Long Beach, CA (33.767168, -118.193723)",
"St. Louis, MO",2016,12,80,,37,,23,,14,,4,,2,,4,,"St. Louis, MO (38.630276, -90.200309)",
"Dallas, TX",2016,12,193,,111,,47,,21,,7,,7,,15,,"Dallas, TX (37.691113, -122.472221)",
"Erie, PA",2016,12,69,,47,,19,,2,,1,,,-,4,,"Erie, PA (34.1647, -114.300301)",
"Somerville, MA",2016,12,2,,1,,1,,,-,,-,,-,,-,"Somerville, MA (42.389121, -71.097145)",
"Duluth, MN",2016,12,44,,30,,11,,1,,2,,,-,8,,"Duluth, MN (28.917512, -81.221278)",
"Salt Lake City, UT",2016,12,149,,97,,27,,18,,4,,3,,19,,"Salt Lake City, UT (40.758478, -111.888142)",
"Cincinnati, OH",2016,12,75,,42,,17,,8,,5,,3,,4,,"Cincinnati, OH (39.104427, -84.513808)",
"Yonkers, NY",2016,12,17,,11,,5,,1,,,-,,-,,-,"Yonkers, NY (40.932014, -73.896052)",
"Providence, RI",2016,12,58,,43,,13,,1,,1,,,-,5,,"Providence, RI (41.824461, -71.412747)",
"Detroit, MI",2016,12,156,,79,,56,,12,,4,,5,,11,,"Detroit, MI (42.332916, -83.047853)",
"Knoxville, TN",2016,12,94,,56,,26,,7,,4,,1,,9,,"Knoxville, TN (35.962631, -83.916677)",
"Scranton, PA",2016,12,34,,29,,4,,1,,,-,,-,2,,"Scranton, PA (41.409113, -75.662346)",
"Lansing, MI",2016,12,43,,30,,5,,8,,,-,,-,2,,"Lansing, MI (42.733625, -84.553927)",
"Chicago, IL",2016,12,320,,180,,98,,30,,11,,1,,19,,"Chicago, IL (41.775002, -87.696388)",
"Sacramento, CA",2016,12,228,,163,,51,,10,,3,,1,,31,,"Sacramento, CA (38.582087, -121.50012)",
"Mobile, AL",2016,12,114,,78,,28,,3,,2,,3,,5,,"Mobile, AL (34.661541, -77.695461)",
"South Bend, IN",2016,12,44,,33,,10,,1,,,-,,-,4,,"South Bend, IN (41.675032, -86.251962)",
"Camden, NJ",2016,12,29,,18,,8,,1,,1,,1,,2,,"Camden, NJ (39.945208, -75.118833)",
"Montgomery, AL",2016,12,63,,45,,9,,4,,5,,,-,9,,"Montgomery, AL (32.376547, -86.299651)",
"Colorado Springs, CO",2016,12,40,,28,,6,,4,,1,,1,,4,,"Colorado Springs, CO (38.835224, -104.819798)",
"Fresno, CA",2016,12,129,,89,,29,,5,,4,,2,,12,,"Fresno, CA (36.731654, -119.785856)",
"Washington, D.C.",2016,12,168,,91,,62,,8,,6,,1,,22,,"Washington, D.C. (38.892062, -77.019912)",
"Grand Rapids, MI",2016,12,80,,52,,18,,6,,1,,3,,7,,"Grand Rapids, MI (47.925705, -97.036068)",
"Philadelphia, PA",2016,12,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA (39.951061, -75.16562)",
"Birmingham, AL",2016,12,190,,129,,40,,16,,2,,2,,11,,"Birmingham, AL (33.522859, -86.807705)",
"Omaha, NE",2016,12,104,,81,,19,,3,,,-,1,,11,,"Omaha, NE (46.07035, -93.666319)",
"New York City, NY",2016,12,1100,,793,,224,,58,,14,,10,,44,,"New York City, NY (40.123164, -75.333718)",
"Honolulu, HI",2016,12,113,,90,,18,,3,,1,,1,,12,,"Honolulu, HI (21.30992, -157.858158)",
"Worcester, MA",2016,12,63,,46,,9,,7,,,-,1,,11,,"Worcester, MA (42.262073, -71.802278)",
"Allentown, PA",2016,12,40,,30,,8,,2,,,-,,-,2,,"Allentown, PA (40.602753, -75.469759)",
"Albany, NY",2016,12,51,,35,,10,,3,,,-,3,,3,,"Albany, NY (42.651242, -73.755418)",
"Tampa, FL",2016,12,163,,98,,45,,18,,,-,2,,13,,"Tampa, FL (37.8606, -78.804199)",
"Hartford, CT",2016,12,,U,,U,,U,,U,,U,,U,,U,"Hartford, CT (41.765775, -72.673356)",
"Charlotte, NC",2016,12,143,,93,,35,,10,,4,,1,,9,,"Charlotte, NC (35.222936, -80.840161)",
"St. Petersburg, FL",2016,12,57,,36,,19,,,-,2,,,-,6,,"St. Petersburg, FL (27.772069, -82.638488)",
"Bridgeport, CT",2016,12,28,,22,,6,,,-,,-,,-,2,,"Bridgeport, CT (41.179195, -73.189476)",
"San Diego, CA",2016,12,204,,143,,43,,13,,2,,3,,20,,"San Diego, CA (32.71576, -117.163817)",
"Kansas City, MO",2016,12,83,,50,,22,,6,,3,,1,,6,,"Kansas City, MO (39.099792, -94.578559)",
"Paterson, NJ",2016,12,19,,11,,5,,2,,,-,1,,1,,"Paterson, NJ (40.916612, -74.172191)",
"Ogden, UT",2016,12,45,,22,,14,,4,,2,,3,,4,,"Ogden, UT (41.222761, -111.970419)",
"Springfield, MA",2016,12,37,,25,,8,,3,,1,,,-,,-,"Springfield, MA (39.79936, -89.643624)",
"Indianapolis, IN",2016,12,203,,134,,55,,9,,3,,2,,34,,"Indianapolis, IN (39.76845, -86.156212)",
"Baltimore, MD",2016,12,135,,83,,34,,4,,8,,6,,10,,"Baltimore, MD (39.290443, -76.612333)",
"Evansville, IN",2016,12,40,,25,,12,,1,,2,,,-,1,,"Evansville, IN (37.975708, -87.569907)",
"Des Moines, IA",2016,12,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA (41.588822, -93.620309)",
"Seattle, WA",2016,12,,-,,-,,-,,-,,-,,-,,-,"Seattle, WA (47.603229, -122.33028)",
"Wichita, KS",2016,12,93,,60,,26,,5,,1,,1,,4,,"Wichita, KS (39.960481, -75.605214)",
"Los Angeles, CA",2016,12,302,,193,,74,,22,,6,,7,,35,,"Los Angeles, CA (34.052238, -118.243344)",
"San Francisco, CA",2016,12,114,,92,,19,,3,,,-,,-,10,,"San Francisco, CA (37.78008, -122.420168)",
"Rockford, IL",2016,12,65,,48,,12,,5,,,-,,-,2,,"Rockford, IL (42.266802, -89.088377)",
"Syracuse, NY",2016,12,98,,67,,23,,5,,2,,1,,9,,"Syracuse, NY (43.047945, -76.147448)",
"San Antonio, TX",2016,12,306,,231,,58,,9,,6,,1,,22,,"San Antonio, TX (29.425173, -98.494599)",
"Gary, IN",2016,12,9,,5,,4,,,-,,-,,-,,-,"Gary, IN (42.375508, -87.924192)",
New England,2016,13,679,,458,,151,,49,,14,,6,,71,,,
Mid. Atlantic,2016,13,1782,,1257,,385,,92,,27,,19,,111,,,
E.N. Central,2016,13,2142,,1377,,517,,161,,37,,50,,155,,,
W.N. Central,2016,13,627,,404,,151,,45,,16,,11,,46,,,
S. Atlantic,2016,13,1133,,722,,300,,85,,15,,11,,85,,,
"Savannah, GA",2016,13,78,,52,,13,,10,,2,,1,,5,,"Savannah, GA (40.115007, -111.654713)",
E.S. Central,2016,13,1061,,677,,269,,68,,29,,18,,80,,,
W.S. Central,2016,13,1599,,1026,,391,,121,,37,,24,,83,,,
Mountain,2016,13,1251,,856,,273,,77,,26,,19,,117,,,
Pacific,2016,13,1785,,1280,,365,,82,,29,,29,,146,,,
Total_,2016,13,12059,,8057,,2802,,780,,230,,187,,894,,,
"San Diego, CA",2016,13,174,,122,,42,,4,,2,,4,,12,,"San Diego, CA (32.71576, -117.163817)",
"Montgomery, AL",2016,13,40,,24,,9,,5,,2,,,-,4,,"Montgomery, AL (32.376547, -86.299651)",
"Duluth, MN",2016,13,34,,28,,4,,2,,,-,,-,6,,"Duluth, MN (28.917512, -81.221278)",
"New Orleans, LA",2016,13,90,,49,,26,,10,,4,,1,,1,,"New Orleans, LA (29.950621, -90.074948)",
"Phoenix, AZ",2016,13,209,,120,,61,,20,,6,,2,,25,,"Phoenix, AZ (30.406931, -87.217578)",
"Detroit, MI",2016,13,179,,93,,62,,15,,3,,6,,15,,"Detroit, MI (42.332916, -83.047853)",
"Canton, OH",2016,13,32,,20,,8,,2,,,-,2,,4,,"Canton, OH (39.945208, -75.118833)",
"Corpus Christi, TX",2016,13,61,,42,,14,,5,,,-,,-,4,,"Corpus Christi, TX (27.796416, -97.404131)",
"Camden, NJ",2016,13,14,,10,,2,,,-,1,,1,,,-,"Camden, NJ (39.945208, -75.118833)",
"Des Moines, IA",2016,13,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA (41.588822, -93.620309)",
"Gary, IN",2016,13,9,,5,,3,,1,,,-,,-,,-,"Gary, IN (42.375508, -87.924192)",
"Pasadena, CA",2016,13,31,,27,,1,,,-,1,,2,,6,,"Pasadena, CA (34.14955, -118.141452)",
"Syracuse, NY",2016,13,82,,70,,9,,3,,,-,,-,8,,"Syracuse, NY (43.047945, -76.147448)",
"Dayton, OH",2016,13,149,,104,,28,,12,,3,,2,,6,,"Dayton, OH (39.760982, -84.192203)",
"Reading, PA",2016,13,46,,37,,8,,1,,,-,,-,7,,"Reading, PA (40.336919, -75.921965)",
"Cambridge, MA",2016,13,18,,17,,,-,,-,1,,,-,2,,"Cambridge, MA (42.365248, -71.105015)",
"Little Rock, AR",2016,13,86,,54,,20,,6,,,-,6,,5,,"Little Rock, AR (34.748745, -92.275105)",
"Somerville, MA",2016,13,5,,2,,2,,,-,1,,,-,,-,"Somerville, MA (42.389121, -71.097145)",
"Tacoma, WA",2016,13,139,,94,,35,,8,,1,,1,,8,,"Tacoma, WA (32.221878, -110.971225)",
