PropertyID,SaleDollarCnt,TransDate,censusblockgroup,ZoneCodeCounty,Usecode,BedroomCnt,BathroomCnt,FinishedSquareFeet,GarageSquareFeet,LotSizeSquareFeet,StoryCnt,BuiltYear,ViewType,Latitude,Longitude,BGMedHomeValue,BGMedRent,BGMedYearBuilt,BGPctOwn,BGPctVacant,BGMedIncome,BGPctKids,BGMedAge,Prediction
48655531,475000,4/4/2015,530330202003,R6,9,4,3,1800,580,7200,1,1979,,47771692,-122375605,394300,916,1967,0.6766,0.1061,81813,0.2047,55.8,498950.1109323061
48655550,500000,6/19/2015,530330202002,R6,9,3,2.5,1690,130,14952,1,1988,,47765819,-122358007,346700,943,1973,0.4712,0.1788,44149,0.2379,54.5,521901.0872722383
48655965,377000,4/4/2015,530330203005,R6,9,4,1.75,1800,,8385,1,1950,,47774410,-122338334,305600,920,1972,0.3592,0.103,45089,0.1633,41.5,379712.12908887
48656330,1045000,6/17/2015,530330097011,SF 5000,9,4,2.5,2560,400,6582,1,2015,78,47576067,-122403976,625000,1072,1957,0.499,0,96227,0.1811,42.1,1093775.0206171162
48657787,505000,4/15/2015,530330098004,SF 5000,9,2,1,1000,,4640,1,1915,78,47565869,-122389064,362800,1047,1962,0.5681,0.0481,62109,0.2098,40.9,
48658532,440000,8/11/2015,530330323152,RA5,9,3,3,1980,,16147,2,1966,244,47637799,-121958340,516700,1323,1992,0.8203,0.1282,107250,0.3811,41.7,515044.9392243165
48658621,585000,5/19/2015,530330323152,RA5,9,2,1.75,1560,,29211,2,1989,,47637141,-121956595,516700,1323,1992,0.8203,0.1282,107250,0.3811,41.7,528204.1876154081
48658861,727000,6/20/2015,530330323152,RA5,9,4,3.25,2980,850,24703,2,1993,,47631726,-121991483,516700,1323,1992,0.8203,0.1282,107250,0.3811,41.7,910603.920808387
48659013,450000,4/23/2015,530330210002,R6,9,4,3,2040,400,9565,1,1959,,47735563,-122335123,341800,1137,1966,0.6479,0,93173,0.158,54.1,460515.70082558563
48659738,569900,5/27/2015,530330120002,SF 7200,9,4,1.5,1590,,7680,1,1952,79,47509862,-122381150,342200,1255,1954,0.894,0.038,91719,0.3451,41.9,520279.5504319151
48660126,650000,5/1/2015,530330322143,R4,9,3,2,1970,180,54450,1,1980,,47593626,-122012059,519900,2001,2001,0.9094,0,152019,0.5914,35.2,650105.0457429087
48660536,945000,7/11/2015,530330201003,R6,9,5,3,3550,240,7224,1,1975,82,47773952,-122384462,590200,1398,1958,0.9137,0.0943,129531,0.2946,50.6,927255.1065066658
48660908,235000,8/6/2015,530330288021,UL7200,9,3,1,1000,340,9268,1,1959,,47433476,-122290670,288300,859,1970,0.4039,0.047,34457,0.4338,28.6,
48660940,296000,8/27/2015,530330288021,UL7200,9,3,1,1360,350,7313,1,1961,,47432236,-122289555,288300,859,1970,0.4039,0.047,34457,0.4338,28.6,
48661409,550000,5/29/2015,530330278003,RS7200,9,3,3,2655,454,8125,2,2014,,47454012,-122353205,343900,,1956,0.9609,0.0203,73472,0.2575,47.6,603408.3145204005
48661952,325000,9/18/2015,530330320072,R4,9,3,3,1330,510,13288,1,1967,,47360278,-122062690,294000,,1988,0.9824,0.0442,110242,0.4449,43,
48662592,200000,9/11/2015,530330271001,RS7200,9,2,1,830,220,16670,1,1946,,47494581,-122298797,250000,813,1968,0.1969,0.1079,26883,0.3057,40.6,
48662911,517000,5/2/2015,530330229011,R5,9,4,1,1650,420,8250,1,1966,,47636607,-122118384,443900,1797,1965,0.7568,0,111071,0.2601,39.2,526793.9986160055
48663534,1320000,7/3/2015,530330058023,SF 5000,9,3,2.5,2970,,7040,1,1958,78,47640243,-122389523,489700,1059,1961,0.5013,0.0698,90959,0.2815,33.7,1225048.2400023632
48663897,1700000,6/4/2015,530330221012,R4,9,4,3,2650,740,11427,1,1967,78,47737853,-122266740,522100,1882,1977,0.806,0.1261,103000,0.2488,49.5,1493604.093299688
48666903,870000,5/29/2015,530330321041,SFS,9,3,2.5,2710,580,32070,2,1983,78,47513812,-122027198,497800,1107,1982,0.8385,0,105525,0.2497,49,754233.4919541384
48667326,1015000,7/31/2015,530330323292,RA5,9,4,2.5,3565,645,41129,2,2003,,47676054,-122014372,362400,1316,2005,0.5497,0.0971,105769,0.3532,36.2,937667.028644847
48667725,1375000,5/23/2015,530330223002,RSA 8,9,3,3.5,4090,660,10656,2,1999,78,47699977,-122235675,576900,1531,1975,0.9143,0.0385,119722,0.4314,43.1,1233578.8111552831
48668413,260000,6/13/2015,530330289025,RS9600,9,4,2.5,1880,460,10500,1,1960,79,47398796,-122300286,192600,665,1976,0.3282,0.0871,42500,0.542,28.8,272741.2363878003
48668487,763000,6/13/2015,530330039002,SF 5000,9,3,1.75,1690,260,5841,1,1951,,47678256,-122281970,566800,1850,1951,0.9382,0,97813,0.2827,48,713838.7972711608
48668633,325000,4/24/2015,530330206004,R6,9,3,1,1040,260,7541,1,1951,,47756462,-122339355,341800,,1965,0.9722,0,69700,0.4206,47.4,
48669417,426000,8/18/2015,530330210004,R6,9,5,3,2350,260,8648,1,1966,,47746817,-122339056,334800,,1956,0.8352,0,65217,0.3297,41.5,451961.3193837373
48669664,540000,8/22/2015,530330315021,RA5,9,3,3,2520,980,240451,2,1993,78,47252046,-121927866,388800,541,1983,0.915,0.0515,62587,0.2984,44.6,617990.6301203279
48669786,250000,8/15/2015,530330255003,R8,9,4,1,1540,310,6825,2,1953,,47493735,-122166151,216700,1103,1957,0.7985,0,46900,0.462,37.8,298226.6182017811
48669958,460000,7/14/2015,530330316051,R4,9,3,2.75,2400,740,35500,2,1990,,47336548,-122045449,455500,,1975,0.9292,0.1152,105250,0.1849,46.9,394605.79995337536
48670144,250000,7/1/2015,530330255003,R8,9,2,1,700,,5500,1,1954,,47496156,-122169436,216700,1103,1957,0.7985,0,46900,0.462,37.8,
48670806,699990,8/27/2015,530330322032,R4,9,3,2,3060,1770,23472,2,1983,,47593904,-122041755,558300,,1988,0.9526,0,141290,0.3039,40.8,372340.0759606634
48671240,499950,5/12/2015,530330324023,RA2.5,9,3,2.5,3230,600,129578,1,1964,78,47681867,-121912900,357800,,1984,0.964,0.1153,114306,0.4944,35.8,538658.6200479859
48671457,642000,6/27/2015,530330323111,RA5,9,4,2.25,2760,530,201247,2,1980,,47767578,-122035673,659200,,1988,0.9362,0.1551,155125,0.4867,49,472005.1042934109
48671666,610000,8/19/2015,530330039001,SF 5000,9,3,1,1680,250,5618,1,1952,,47679714,-122284682,520400,971,1957,0.7023,0,96419,0.4034,35.1,584934.7387458865
48672615,1320000,7/30/2015,530330034003,SF 5000,9,4,3.5,3280,620,3920,2,2008,,47672126,-122360216,491700,1214,1939,0.65,0.1285,107188,0.3375,38.2,1618683.8525164993
48672907,501000,5/7/2015,530330030003,SF 5000,9,2,2,1300,240,2500,1,1926,,47683054,-122373291,472100,1059,1944,0.5542,0,68534,0.2907,38.4,
48672931,600000,8/4/2015,530330030003,SF 5000,9,4,2,1770,240,5000,2,1945,,47682537,-122374344,472100,1059,1944,0.5542,0,68534,0.2907,38.4,723326.1900727937
48673069,500000,6/4/2015,530330030003,SF 5000,9,4,2.25,1350,,5000,2,1914,,47679841,-122371821,472100,1059,1944,0.5542,0,68534,0.2907,38.4,
48674000,495000,7/31/2015,530330203001,R6,9,4,2,2120,,6865,1,1954,,47777464,-122337196,333600,1069,1983,0.1577,0,60882,0.4439,34.3,477993.2642893166
48674304,1190000,8/18/2015,530330051002,SF 5000,9,5,4,3520,,5700,2,1921,,47658529,-122330569,705800,884,1939,0.8807,0.0469,142813,0.4015,41.5,1516176.1248772617
48674525,486000,5/28/2015,530330098001,SF 5000,9,2,1,1140,,5750,1,1918,,47577732,-122382972,476500,919,1939,0.5841,0,97596,0.2548,41.9,
48675321,235000,8/22/2015,530330293054,R4,9,3,1,1460,,10200,1,1957,,47423821,-122197461,292000,1602,1969,0.7888,0,123839,0.3944,38.6,
48675712,800000,8/18/2015,530330238011,R3.5,9,3,2,2280,,9583,1,1949,,47596779,-122196826,581900,991,1965,0.4735,0.0835,85125,0.3293,36.6,760629.925220143
48675931,628500,8/6/2015,530330026003,SF 5000,9,3,1,1400,,4080,2,1924,,47678920,-122313271,450600,1028,1939,0.6918,0.0953,88750,0.2425,37.1,
48675967,948000,7/15/2015,530330026003,SF 5000,9,4,2.25,3030,,4080,2,1930,,47679212,-122314129,450600,1028,1939,0.6918,0.0953,88750,0.2425,37.1,670607.691027372
48676553,340000,6/18/2015,530330316042,R6,9,4,3,1710,420,4773,2,1998,,47354267,-122024085,312800,1245,2002,0.8349,0.0614,105050,0.7009,30.3,463111.8769617469
48677471,895000,5/30/2015,530330016001,SF 5000,9,4,1.75,2340,420,5100,1,1964,79,47699921,-122379617,781700,,1950,0.9428,0.0611,88854,0.3156,49,840923.1868601564
48677755,863000,7/23/2015,530330057002,SF 5000,9,3,1.75,2300,300,6000,1,1951,78,47652012,-122395294,611700,1766,1945,0.7057,0,104013,0.4553,33.2,808628.8607561284
48677820,460000,4/16/2015,530330096003,SF 5000,9,2,1,1020,250,4002,1,1953,,47582859,-122394609,654300,1169,1943,0.5971,0.1275,74917,0.0749,42.3,
48678286,795750,8/19/2015,530330303053,RS15.0,9,4,4,4190,610,26171,2,1991,82,47322803,-122377519,299100,,1977,0.8569,0.02,90784,0.2675,41.7,1104755.519010126
48679233,490000,7/30/2015,530330286004,R15,9,4,1.75,2200,,17200,1,1957,,47418032,-122341540,464500,1650,1965,0.8101,0,97727,0.2597,45.9,456447.65323478583
48679745,395000,8/22/2015,530330277015,RA10SO,9,3,1,1220,,25700,1,1922,,47429539,-122463465,384900,595,1983,0.8662,0.1566,41765,0.2776,50.4,
48681732,979000,8/15/2015,530330322131,R4,9,4,3,3750,790,15629,2,1996,,47586734,-121994728,629900,,1977,0.9246,0.0348,118688,0.3607,47.2,1205283.2509901286
48681979,548000,4/14/2015,530330224002,RS 7.2,9,4,2,1690,280,7794,1,1968,,47688843,-122203228,614200,1637,1973,0.8394,0,111875,0.4085,40.1,572446.4947486932
48682238,2500000,7/3/2015,530330241002,R1,9,5,4,4840,770,21261,2,1997,78,47633410,-122218145,1000001,2001,1975,0.8938,0.1185,163056,0.4219,45.6,2661924.2978539933
48682448,685000,4/4/2015,530330244001,R8.4,9,3,2,2230,,8558,2,1960,,47583325,-122219286,697900,2001,1995,0.5759,0,84375,0.1185,70.2,815267.3706020911
48682474,900000,8/1/2015,530330238011,R4,9,3,2,1880,,9112,1,1951,,47607188,-122198517,581900,991,1965,0.4735,0.0835,85125,0.3293,36.6,834952.0279746233
48682596,442000,6/25/2015,530330303102,RS9.6,9,4,3,3160,680,10749,2,1996,,47285352,-122344828,277700,1847,1994,0.8471,0,68750,0.5566,35.3,540880.8320587345
48684875,622000,9/29/2015,530330221024,R6,9,4,2.5,2450,580,11058,2,1993,,47735840,-122226301,429500,,1996,0.9226,0,111477,0.4624,37.5,504668.64988150593
48684996,385000,7/29/2015,530330320104,R6,9,4,2.5,2000,570,6679,2,1997,,47382551,-122028417,307000,,1995,0.9114,0.0357,104961,0.4283,34.1,457747.8002373128
48685218,990000,9/29/2015,530330229011,R3.5,9,4,2.75,3250,680,10435,2,1994,,47633136,-122129293,443900,1797,1965,0.7568,0,111071,0.2601,39.2,1173146.2961536043
48686391,195000,5/1/2015,530330268021,R6,9,2,1,960,,9954,1,1936,,47502594,-122352971,230500,781,1958,0.7464,0.101,38611,0.0471,52.4,
48688907,415000,4/18/2015,530330017012,LR1,9,3,2,1480,240,2200,2,1995,,47696875,-122350259,318900,858,1972,0.6562,0.0323,82708,0.2083,40.4,
48689711,360000,7/25/2015,530330258052,R6,9,3,1.5,1200,320,9120,1,1963,,47454520,-122186824,194600,1069,1961,0.727,0,67500,0.4724,38.1,
48689808,414000,5/8/2015,530330324021,R4,9,4,2.5,2120,490,6497,2,2003,,47724072,-121956978,372400,,1996,0.9604,0.0561,113912,0.5733,35,519593.7098272117
48691761,649000,8/13/2015,530330322101,RA2.5,9,3,2,2800,,84070,1,1968,,47573535,-121943055,635200,,1991,1,0.0545,161964,0.4318,38.5,649885.927416186
48691996,707000,5/28/2015,530330106003,SF 5000,9,5,3.5,2780,520,4800,2,1996,,47546293,-122384802,384300,1030,1976,0.5317,0.0313,63036,0.0969,40.4,883636.0121957411
48692129,500000,6/27/2015,530330218042,SVV,9,4,2,1540,,18293,1,1978,,47757602,-122194463,323600,927,1981,0.4303,0,52379,0.2848,35,505121.0552279114
48693726,1800000,9/30/2015,530330016001,SF 7200,9,3,3,2950,480,12324,1,2002,82,47703627,-122385955,781700,,1950,0.9428,0.0611,88854,0.3156,49,1734272.2692526025
48696389,568000,5/13/2015,530330323291,RA5,9,3,1.75,1760,520,235224,1,1973,,47673668,-122042374,499300,2001,2002,0.9458,0,153171,0.7507,33.3,566179.1471236532
48696859,760000,9/1/2015,530330005002,SF 7200,9,4,2,2410,400,14231,1,1947,82,47718752,-122363271,565200,,1953,0.9775,0.0707,142019,0.1465,54.5,694843.8090411106
48697371,386400,6/30/2015,530330017022,SF 5000,9,2,1,730,,4650,1,1942,,47691165,-122365573,354700,1005,1947,0.7122,0.0305,65400,0.1576,40.7,
48697838,522000,5/23/2015,530330098004,SF 5000,9,3,1.75,1980,,5750,1,1909,,47564529,-122381889,362800,1047,1962,0.5681,0.0481,62109,0.2098,40.9,469911.0654195344
48698485,305000,6/30/2015,530330293044,R6,9,3,2,1500,500,8362,1,1968,78,47436020,-122169899,291400,,1971,0.978,0.0831,96750,0.2473,45.5,
48698589,275000,9/15/2015,530330293044,R6,9,4,2,2180,310,7350,1,1972,,47436287,-122165814,291400,,1971,0.978,0.0831,96750,0.2473,45.5,295600.4504461943
48698887,187900,9/25/2015,530330271002,RS7200,9,2,1,890,,7333,1,1947,,47492009,-122308513,237900,820,1959,0.4951,0.0622,65776,0.4935,26.1,
48699042,657500,8/18/2015,530330018001,SF 5000,9,4,2,2150,,6150,2,1929,,47692636,-122339508,430500,1155,1978,0.5722,0,94107,0.2819,26.2,585579.5459610295
48699837,348500,7/16/2015,530330315013,F,9,3,1,2030,,76230,1,1967,244,47316999,-121891422,330400,394,1983,0.7495,0.1206,80625,0.3181,44.2,347860.2338677461
48700440,1057500,4/25/2015,530330321022,RA2.5,9,4,2.75,3920,1020,118715,2,2015,82,47496749,-121901679,513600,,1990,0.9655,0.1022,124545,0.3,42.2,1162821.4267060906
48701130,636000,9/17/2015,530330041004,SF 5000,9,2,1,870,,6850,1,1948,,47665737,-122276399,756300,1403,1950,0.4748,0,86081,0.3423,39.5,
48701274,740000,9/5/2015,530330226061,R5,9,3,3,2270,720,11200,2,1988,,47667508,-122148938,458200,1190,1975,0.6243,0.0234,141813,0.3573,41.2,696796.0149555376
48701675,965000,5/28/2015,530330323115,RA5,9,4,3.75,4800,800,217800,2,1998,,47754986,-122025779,716000,1184,1993,0.7293,0,143750,0.5385,40.5,999619.2241474794
48702385,600000,6/27/2015,530330106001,SF 5000,9,3,2.5,2040,,4720,2,1930,82,47550570,-122377316,448700,681,1947,0.8085,0.0591,135729,0.3582,38.5,454849.2320509055
48702472,235000,9/16/2015,530330255002,R8,9,3,1,1330,460,14840,1,1962,,47500972,-122167715,280600,1308,1980,0.5825,0.1356,68385,0.2912,38.7,
48702663,620000,7/11/2015,530330230001,R5,9,4,2.25,2260,530,8715,2,1963,,47618673,-122104490,653600,,1973,0.9616,0,157625,0.5144,44.2,846354.0085405442
48703601,334900,7/24/2015,530330319032,R4,9,3,2,1700,600,11050,1,1969,,47471090,-122119325,334300,,1971,0.8605,0,84886,0.5345,37.9,337646.73096918274
48704789,240000,6/9/2015,530330303064,RS7.2,9,4,1.75,1470,480,6912,2,1969,,47301458,-122377425,234500,1393,1974,0.9271,0,94198,0.3828,36.5,
48705401,457750,6/20/2015,530330111022,SF 5000,9,4,1.75,1480,200,9924,1,1958,78,47543703,-122270249,426700,746,1960,0.4724,0.2072,63173,0.3291,30.4,
48705640,543388,8/22/2015,530330111024,SF 5000,9,5,1,1520,,4200,1,1940,,47537700,-122267594,356300,707,1959,0.7354,0.0268,77212,0.4605,33.5,474187.89991768845
48705649,370000,5/14/2015,530330111024,SF 5000,9,4,2,1950,,3757,1,1908,,47537199,-122269361,356300,707,1959,0.7354,0.0268,77212,0.4605,33.5,346016.4422198377
48706333,1775000,8/12/2015,530330063004,SF 7200,9,4,4,3440,170,7200,2,1952,,47629297,-122288313,1000001,,1939,0.9387,0,113472,0.2797,52.5,1863176.5411639865
48706705,535000,8/21/2015,530330222024,RSA 6,9,3,2,1760,160,9160,1,1969,,47718369,-122218025,343700,960,1976,0.4587,0.0928,77404,0.4719,27.6,532352.2755173832
48707609,850000,9/1/2015,530330041002,SF 9600,9,4,1.75,2200,440,9450,1,1955,,47669573,-122267665,855400,1308,1952,0.8393,0.081,154196,0.3895,42,801925.7862732584
48709656,846000,8/12/2015,530330323074,RA5,9,4,3,3440,890,28012,2,1987,,47738844,-122080928,480300,,1983,0.8519,0,130478,0.2921,41.3,940806.3634602737
48709790,425000,7/1/2015,530330214001,RS 15000,9,4,2.5,3140,,24000,1,1957,,47753906,-122285085,474400,,1960,0.943,0,101500,0.3135,42.9,488987.7486976501
48709948,335000,6/26/2015,530330312044,RA5,9,3,1.5,1290,,23862,2,1974,82,47338139,-122132361,296900,,1968,0.8272,0,53056,0.2346,43.2,
48710479,966000,7/25/2015,530330032005,SF 5000,9,5,2,2030,330,4850,2,1904,,47671142,-122397386,423100,1246,1939,0.5985,0,90556,0.2555,35.3,498263.46910630574
48711046,309000,9/11/2015,530330260024,R6P,9,3,2,1140,370,6300,1,1945,79,47497927,-122221361,270900,909,1959,0.6891,0.0412,68438,0.3095,38.5,
48711511,670000,4/14/2015,530330077003,SF 5000,9,4,2,2250,,4200,2,1909,,47613616,-122296567,399500,858,1947,0.6597,0,74239,0.3958,33.5,536903.6492912229
48712261,357500,7/3/2015,530330279004,RS7200,9,4,2,2860,240,9475,1,1959,82,47453852,-122346196,248600,920,1956,0.4732,0,57011,0.2366,52.9,384386.31684471236
48713210,400000,9/18/2015,530330267003,RS7200,9,4,2,1880,,6000,1,1940,,47496034,-122362091,369500,,1958,0.9435,0,81875,0.3087,42.5,379402.5236393854
48713715,625000,7/18/2015,530330234031,R5,9,3,2.25,1950,440,8712,2,1978,,47578935,-122116966,516700,1418,1983,0.6691,0,108036,0.302,36.9,297841.8318924846
48714037,525000,7/15/2015,530330323072,RA5,9,4,1.5,2020,440,178160,1,1976,,47759896,-122102742,380900,,1973,0.8687,0,106458,0.3365,49.3,531210.7540503654
48714436,575000,9/19/2015,530330030004,SF 5000,9,3,2,1400,220,4800,1,1944,,47686145,-122379257,428100,737,1947,0.5807,0.0675,107891,0.2059,42.7,
48714638,600000,8/29/2015,530330226042,RS 7.2,9,3,3,2260,500,7807,2,1991,,47677720,-122179163,396900,1252,1974,0.6339,0,75250,0.3716,32.2,779560.3846304258
48714986,560000,5/14/2015,530330225001,RS 8.5,9,3,1.75,1640,530,11851,2,1982,,47688598,-122189891,509200,1614,1981,0.5969,0.0742,95486,0.2606,34,568844.1906279329
48715002,903500,8/15/2015,530330225001,RS 8.5,9,4,3,2670,550,7318,1,2008,,47689249,-122186880,509200,1614,1981,0.5969,0.0742,95486,0.2606,34,947194.3326751399
48715840,1060000,7/16/2015,530330237002,R1.8,9,5,3.5,4110,770,25056,2,1995,78,47632530,-122175415,699300,2001,1971,0.9117,0.0223,118063,0.3486,47,1068463.878479886
48716258,735000,8/12/2015,530330224002,RS 7.2,9,3,3,2340,140,10310,1,1978,78,47688041,-122197888,614200,1637,1973,0.8394,0,111875,0.4085,40.1,760483.1908099903
48717471,625000,4/17/2015,530330031003,SF 5000,9,3,3,2260,,5500,2,1910,,47681024,-122387929,458300,916,1945,0.5282,0.1047,77604,0.1566,41.8,688198.8534925451
48718778,535000,5/19/2015,530330105004,SF 5000,9,2,1,1220,,6000,1,1942,,47555890,-122384655,308100,1039,1980,0.2051,0.2018,55735,0.1707,35.9,
48718955,980000,6/12/2015,530330097024,SF 5000,9,3,2.5,3490,20,4606,2,2000,82,47571339,-122402276,438100,,1953,0.8971,0,92143,0.4569,44.3,1157860.1364693332
48719127,440000,5/22/2015,530330319062,R6,9,4,3.25,2640,470,6441,2,1999,,47434189,-122111624,472100,961,1991,0.937,0.0879,116369,0.3674,46,419870.6338753456
48720298,249900,5/30/2015,530330298024,R6,9,4,2,1450,500,7210,1,1963,,47340542,-122279302,268200,,1965,0.9764,0,64695,0.1298,52.9,
48720365,288000,5/23/2015,530330298024,R6,9,4,2,1450,480,8085,1,1964,,47341274,-122281071,268200,,1965,0.9764,0,64695,0.1298,52.9,
48723064,423500,7/17/2015,530330221011,R6,9,3,1.75,1720,120,10166,1,1975,78,47742314,-122248349,408600,1181,1984,0.7173,0.1391,80682,0.3596,41.2,437417.132707974
48723470,348500,7/8/2015,530330319075,R6,9,3,1.75,1880,440,7200,1,1977,,47444178,-122129241,348900,,1977,0.8486,0.1162,112583,0.5012,36.8,354247.27058241644
48723769,346500,4/25/2015,530330319081,R6,9,5,3,2020,680,8250,1,1978,,47443211,-122135068,273900,982,1976,0.7007,0.0106,63125,0.3349,39.6,363267.5200810864
48723984,313000,5/21/2015,530330295021,SR6,9,4,2.5,1790,440,6434,2,1999,,47364087,-122173123,292200,1168,1990,0.7275,0.0632,84792,0.4354,39.5,280111.39903696394
48724514,1250000,5/28/2015,530330228013,R1,9,4,2.5,4190,710,35262,2,1987,,47655420,-122158041,877100,,1975,0.9703,0,135380,0.1507,51.6,1513118.1858688865
48724946,1265000,4/30/2015,530330065003,SF 5000,9,4,3,3130,,2646,3,1906,,47627218,-122316196,788500,1113,1939,0.30620000000000003,0.0281,88224,0.0814,37.5,988061.6014080872
48726027,227450,5/19/2015,530330253013,R8,9,2,1,1000,,4400,1,1929,,47485944,-122197791,249300,891,1990,0.275,0.2982,47500,0.0917,45.2,
48726182,860000,8/29/2015,530330005003,SF 9600,9,4,3,2440,210,10193,1,1971,,47712172,-122365785,486200,,1956,0.9036,0.0351,108875,0.2677,47.1,823247.6990872012
48726373,1300000,6/19/2015,530330056003,SF 7200,9,4,2.5,4140,433,9988,2,1970,82,47643487,-122414659,924500,2001,1945,0.913,0.1169,225813,0.4102,50.2,1465899.473061034
48728788,433000,6/2/2015,530330204012,R6,9,4,3,1710,130,7147,1,1990,,47766428,-122325463,343400,,1955,0.9257,0.1965,82344,0.3529,46.1,466501.96470929467
48731094,1650000,8/29/2015,530330240003,R3.5,9,3,3,2900,740,13965,2,1993,79,47623602,-122207775,399300,1598,1984,0.4018,0.0679,83382,0.2126,35.8,1444376.1205808278
48731347,550000,7/11/2015,530330221014,R6,9,5,2.5,2860,440,9700,1,1973,246,47747622,-122255334,468100,,1974,0.9636,0,119286,0.2119,51.9,588220.0494065133
48731701,550000,4/28/2015,530330323153,RA5,9,3,2,1890,,100623,1,1978,79,47645422,-121977334,611500,,1990,0.9192,0.0946,131189,0.4735,43.5,556326.6812585136
48732091,276350,8/25/2015,530330258031,R6,9,3,1,1250,,8314,1,1958,,47452196,-122178135,223500,1236,1963,0.8685,0,65938,0.3153,35.1,
48732492,280000,4/17/2015,530330258031,R6,9,2,1,1150,,12861,1,1959,,47449237,-122170774,223500,1236,1963,0.8685,0,65938,0.3153,35.1,
48732808,630112,7/25/2015,530330229025,R3,9,3,1.75,1890,440,12006,1,1973,,47630213,-122090717,564400,,1974,0.8686,0,142273,0.4216,40.3,630169.2367715259
48733246,433200,6/18/2015,530330320081,R4,9,4,3,3150,860,26763,2,1987,,47372149,-122057294,394600,1244,1984,0.8862,0.1226,111438,0.3433,41.3,416707.6110529093
48733274,415000,8/15/2015,530330320081,R4,9,4,3,2580,530,17626,2,1976,,47373024,-122053890,394600,1244,1984,0.8862,0.1226,111438,0.3433,41.3,326220.5000492467
48733625,360000,5/9/2015,530330111023,SF 5000,9,3,1.5,1060,230,6232,1,1968,,47532917,-122271374,254500,688,1959,0.3238,0,25868,0.3587,32.4,
48733631,335000,8/27/2015,530330111023,SF 5000,9,5,1.75,2530,,6311,2,1906,,47534410,-122271384,254500,688,1959,0.3238,0,25868,0.3587,32.4,622075.0407206084
48733660,236000,6/20/2015,530330111013,SF 5000,9,4,1,1370,,5764,2,1916,,47534240,-122273032,315000,834,1959,0.6306,0,51250,0.4745,32.9,
48733959,259000,6/23/2015,530330274003,RS7200,9,3,1,1280,,6600,1,1967,,47481850,-122332132,256600,947,1965,0.6037,0.1161,37273,0.2673,44.8,
48733974,273000,8/21/2015,530330274003,RS7200,9,3,1,1410,,6600,2,1930,,47483497,-122331595,256600,947,1965,0.6037,0.1161,37273,0.2673,44.8,
48734793,241500,7/3/2015,530330308023,R7,9,3,2,1360,440,8143,1,1963,,47285741,-122218483,227400,1290,1975,0.5084,0,69911,0.4747,25.1,
48735150,445000,8/1/2015,530330001003,SF 7200,9,3,4,2230,,12250,1,1986,,47720902,-122289181,400700,768,1977,0.4652,0.0985,67585,0.2369,36.7,536171.589667224
48735414,1070000,5/13/2015,530330001001,SF 9600,9,5,3.5,3050,560,23343,2,1964,78,47720817,-122281861,527700,1750,1956,0.9134,0.1061,113450,0.2524,49.6,817444.0124891093
48737482,615000,4/11/2015,530330095002,SF 5000,9,4,1.5,1980,230,3240,2,1930,,47584009,-122294326,344700,478,1962,0.4659,0.0465,47321,0.2939,41.5,1021716.4046763224
48738410,418000,7/3/2015,530330313011,A10,9,3,1.5,1510,560,344124,1,1964,79,47215955,-122030417,309700,443,1962,0.8501,0,67303,0.3226,41.6,391959.46126846806
