New_ID,date,year_month,byte_size,filetype,school_country,school_name,school_type,enrollment,first_subject_name,tag,page_count,hqd_score,is_mcq,top_keywords,language,course_id_,user_id_
898,2018-03-16,2018-03,117196,pdf,United States,University of Utah,HIGHER,37585.0,biology,assessment,3.0,0.92993,,0,en,18,18
899,2017-04-20,2017-04,29678,docx,United States,Our Lady of the Lake College,HIGHER,1841.0,health_science,notes,4.0,0.96211,,0,english,19,19
900,2017-09-15,2017-09,24317,docx,United States,"Purdue University, Fort Wayne",HIGHER,14002.0,health_science,assessment,5.0,0.96706,,1,english,20,20
901,2017-06-11,2017-06,314631,pdf,United States,University of Management and Technology,TRADE,3390.0,management,assessment,6.0,0.91857,1.0,0,english,21,21
902,2018-03-14,2018-03,32212,docx,Australia,CQUniversity,HIGHER,16459.0,business,paper,14.0,0.93146,,0,en,22,22
903,2017-03-06,2017-03,100263,pdf,United States,University of Texas,HIGHER,51832.0,mathematics,assessment,14.0,0.95081,,1,english,23,23
904,2017-08-19,2017-08,3669262,pdf,Australia,University of New South Wales,HIGHER,53481.0,information_systems,notes,7.0,,,0,unknown,24,24
905,2017-10-17,2017-10,265958,pptx,United States,Central Michigan University,HIGHER,28486.0,psychology,paper,16.0,0.95059,,1,english,25,25
906,2017-02-04,2017-02,16476,docx,United States,Illinois State University,HIGHER,23330.0,sociology,assessment,2.0,0.95274,,0,english,26,26
907,2017-01-27,2017-01,58063,docx,United States,Florida International University,HIGHER,68005.0,mathematics,assessment,7.0,0.97142,,1,english,27,27
908,2016-11-07,2016-11,189226,docx,United States,Virginia Commonwealth University,HIGHER,34271.0,sociology,paper,46.0,0.92957,,1,english,28,28
909,2018-03-12,2018-03,41464,pptx,United States,"Baruch College, CUNY",HIGHER,22601.0,marketing,paper,8.0,0.94888,,0,en,29,29
910,2017-10-23,2017-10,68613,docx,Egypt,German University in Cairo,HIGHER,10000.0,business,paper,14.0,0.95816,,1,english,30,30
911,2017-04-13,2017-04,21013,docx,United States,Capella University,HIGHER,37708.0,biology,paper,7.0,0.96164,,0,english,31,31
912,2016-11-05,2016-11,13390,docx,United States,Capella University,HIGHER,37708.0,health_science,paper,1.0,0.93377,,0,english,32,32
913,2017-09-11,2017-09,16695,docx,Pakistan,"Hajvery University, Lahore (Main Campus)",HIGHER,16392.0,information_systems,paper,5.0,0.93683,,0,english,33,33
914,2016-07-30,2016-07,297987,pptx,United States,"Arizona State University, Polytechnic Campus",HIGHER,4969.0,psychology,assessment,27.0,0.92677,,0,english,34,34
915,2017-05-08,2017-05,172235,pdf,India,Amity Business School,HIGHER,15532.0,accounting,assessment,1.0,0.68389,,0,english,35,35
916,2018-02-18,2018-02,51767,pdf,United States,University of Texas,HIGHER,51832.0,chemistry,assessment,2.0,0.9553,,0,en,36,36
917,2017-04-27,2017-04,893065,pdf,United States,University of Florida,HIGHER,52218.0,history,assessment,12.0,0.93256,,1,english,37,37
918,2017-07-27,2017-07,22808,docx,United States,University of Phoenix,HIGHER,212044.0,psychology,paper,6.0,0.95611,,0,english,38,38
919,2017-02-10,2017-02,84268,docx,India,San International Business School Of Tech,HIGHER,15319.0,finance,assessment,37.0,0.93467,1.0,1,english,39,39
920,2018-02-05,2018-02,15495,docx,United States,"University of Illinois, Chicago",HIGHER,31879.0,english,paper,2.0,0.9527,,1,english,40,40
921,2016-10-12,2016-10,74339,rtf,Hong Kong,The Chinese University of Hong Kong,HIGHER,20608.0,management,assessment,24.0,0.8735,1.0,1,english,41,41
922,2016-10-30,2016-10,44252,xlsx,United States,Corning Community College,HIGHER,5099.0,finance,assessment,18.0,0.94383,,1,english,42,42
923,2017-08-11,2017-08,19171,docx,United States,"California Polytechnic State University, Pomona",HIGHER,26669.0,english,paper,2.0,0.93724,,0,english,43,43
924,2017-04-14,2017-04,23659,docx,Kenya,Kenyatta University,HIGHER,71000.0,philosophy,paper,8.0,0.9527,,0,english,44,44
925,2017-10-07,2017-10,1313280,ppt,Pakistan,"COMSATS Institute of Information Technology, Islamabad",HIGHER,35452.0,communications,notes,34.0,0.90242,,0,english,45,45
926,2017-04-13,2017-04,39471,pdf,United States,"University of Colorado, Colorado Springs",HIGHER,16743.0,computer_science,assessment,1.0,0.77881,,0,english,46,46
927,2018-03-24,2018-03,193272,pdf,United States,Butler University,HIGHER,5163.0,accounting,notes,39.0,0.90108,,0,en,47,47
928,2018-01-22,2018-01,400490,docx,United States,Cornell University,HIGHER,22820.0,health_science,paper,14.0,0.96757,,1,english,48,48
929,2017-12-03,2017-12,15230,docx,United States,University of North Carolina,HIGHER,31720.0,history,paper,2.0,0.94484,,1,english,49,49
930,2017-09-29,2017-09,20480,doc,United States,University Of Denver,HIGHER,13404.0,mathematics,assessment,1.0,0.93589,,1,english,50,50
931,2017-04-17,2017-04,264165,docx,United States,Fleming Island High School,HIGH,2189.0,nursing,paper,2.0,0.91594,,0,english,51,51
932,2017-01-29,2017-01,9671,docx,Canada,"University of Toronto, Scarborough",HIGHER,12980.0,biology,notes,3.0,0.95457,,1,english,52,52
933,2017-03-21,2017-03,16888,docx,United States,Davenport University,HIGHER,9629.0,communications,paper,1.0,0.93008,,0,english,53,53
934,2017-03-03,2017-03,65934,docx,United States,J. Sargeant Reynolds Community College,HIGHER,15028.0,nursing,assessment,36.0,0.94419,,1,english,54,54
935,2017-10-23,2017-10,384902,pdf,United States,University of Florida,HIGHER,52218.0,computer_science,assessment,7.0,0.95307,,1,english,55,55
936,2018-03-13,2018-03,14868,docx,United States,Eastern Washington University,HIGHER,15602.0,accounting,assessment,1.0,0.84925,,0,en,56,56
937,2018-01-24,2018-01,18234,docx,United States,"University of California, Davis",HIGHER,38778.0,biology,assessment,1.0,0.93684,,1,english,57,57
938,2016-12-13,2016-12,167559,pdf,Singapore,Management Development Institute of Singapore,HIGHER,13000.0,business,assessment,10.0,0.90783,,0,english,58,58
939,2017-10-10,2017-10,178806,pdf,United States,Northwestern University,HIGHER,25233.0,aerospace_engineering,assessment,3.0,0.93583,,0,english,59,59
940,2017-11-29,2017-11,1035486,pdf,Pakistan,"Askari College of Education, Burewala",HIGHER,15969.0,chemistry,assessment,6.0,0.8685299999999999,,0,english,60,60
941,2016-06-12,2016-06,15185,docx,United States,Herzing University,HIGHER,6000.0,nursing,paper,2.0,0.86982,,0,english,61,61
942,2017-03-01,2017-03,176419,docx,United States,"University of Massachusetts, Amherst",HIGHER,34778.0,psychology,assessment,10.0,0.97132,,0,english,62,62
943,2017-09-23,2017-09,68398,pdf,United States,Clemson University,HIGHER,24758.0,management,paper,3.0,0.93247,,0,english,63,63
944,2018-01-14,2018-01,35688,pdf,United States,High School Summer Program,HIGH,4994.0,computer_science,assessment,4.0,0.8436299999999999,,0,english,64,64
945,2018-01-06,2018-01,34744,pdf,Egypt,Faculty of English Commerce Ain Shams University,HIGHER,15555.0,industrial_engineering,assessment,2.0,0.79752,,1,english,65,65
946,2018-02-24,2018-02,66321,docx,United States,"California State University, Fullerton",HIGHER,44790.0,biology,assessment,3.0,0.96257,1.0,1,en,66,66
947,2017-04-25,2017-04,145321,docx,United States,"Kaplan University, Davenport",TRADE,30000.0,communications,paper,4.0,0.91835,,0,english,67,67
948,2016-10-28,2016-10,34496,docx,United States,Columbus State Community College,HIGHER,46559.0,arts_&_humanities,paper,4.0,0.95385,,0,english,68,68
949,2018-02-13,2018-02,46080,doc,United States,"California State University, Northridge",HIGHER,41909.0,arts_&_humanities,syllabi,3.0,0.94457,,0,english,69,69
950,2016-07-26,2016-07,910960,pdf,United States,"University of Puerto Rico, Río Piedras",HIGHER,17741.0,anthropology,paper,29.0,0.86435,,0,english,70,70
951,2017-09-13,2017-09,254574,docx,Canada,University of Alberta,HIGHER,38523.0,information_systems,paper,2.0,0.91782,,0,english,71,71
952,2016-10-24,2016-10,598473,pptx,Kenya,Mount Kenya University,HIGHER,52000.0,management,paper,16.0,0.92777,,1,english,72,72
953,2017-09-13,2017-09,133632,doc,Canada,Carleton University,HIGHER,30416.0,economics,assessment,12.0,0.97714,1.0,0,english,73,73
954,2017-09-09,2017-09,25355,docx,United States,Trine University,HIGHER,4093.0,finance,paper,9.0,0.9585,,1,english,74,74
955,2017-09-19,2017-09,27572,docx,United States,"DeVry University, Chicago",HIGHER,17936.0,business,paper,7.0,0.97206,,0,english,75,75
956,2018-02-28,2018-02,24369,docx,United States,University of Texas,HIGHER,51832.0,management,assessment,8.0,0.96476,,0,en,76,76
957,2017-11-13,2017-11,20141,docx,United States,Rasmussen College,HIGHER,15254.0,nursing,paper,3.0,0.94804,,1,english,77,77
958,2016-09-29,2016-09,5212035,pdf,United States,"University of Illinois, Urbana Champaign",HIGHER,50885.0,mechanical_engineering,notes,46.0,0.9409,,1,english,78,78
959,2016-11-05,2016-11,24576,doc,United States,University of Phoenix,HIGHER,212044.0,management,paper,1.0,0.93732,,0,english,79,79
960,2016-08-17,2016-08,18109,doc,United States,ITT Tech,HIGHER,40015.0,information_systems,paper,2.0,0.95225,,0,english,80,80
961,2017-11-04,2017-11,17013,docx,United States,Post University,HIGHER,15247.0,english,paper,1.0,0.92822,,0,english,81,81
962,2017-11-20,2017-11,578167,docx,United States,Blue Valley Northwest High,HIGH,1699.0,economics,paper,352.0,0.77395,,0,english,82,82
963,2017-09-09,2017-09,41423,docx,Switzerland,"Victoria University, Switzerland",HIGHER,500.0,communications,paper,18.0,0.95325,,1,english,83,83
964,2016-10-01,2016-10,26228,docx,United States,Hallsville High,HIGH,419.0,political_science,notes,8.0,0.96659,,0,english,84,84
965,2018-03-05,2018-03,33896,docx,United States,George Mason University,HIGHER,46266.0,industrial_engineering,assessment,7.0,0.96985,1.0,1,en,85,85
966,2018-03-27,2018-03,28672,doc,United States,Boston University,HIGHER,40807.0,nursing,assessment,1.0,0.94727,,1,en,86,86
967,2016-10-28,2016-10,1969972,pdf,United States,University of Michigan,HIGHER,46316.0,computer_science,notes,45.0,0.91987,,0,english,87,87
968,2017-10-22,2017-10,109435,docx,Canada,University of Toronto,HIGHER,91286.0,philosophy,paper,1.0,0.94407,,0,english,88,88
969,2018-01-26,2018-01,37597,docx,United States,Northern Arizona University,HIGHER,34554.0,biology,assessment,5.0,0.97076,,0,english,89,89
970,2017-03-07,2017-03,121858,pdf,United States,"University of Texas, Arlington",HIGHER,59019.0,management,notes,2.0,0.92998,,1,english,90,90
971,2016-10-02,2016-10,14560,docx,United States,Grantham University,HIGHER,7752.0,business,assessment,1.0,0.93758,,1,english,91,91
972,2016-09-27,2016-09,26792,docx,Canada,Bracebridge and Muskoka Lakes Secondary School,HIGH,15105.0,biology,assessment,2.0,0.95483,,1,english,92,92
973,2016-06-30,2016-06,1888,rtf,Kenya,University of Nairobi,HIGHER,98713.0,finance,assessment,2.0,0.94173,,1,english,93,93
974,2016-11-02,2016-11,18773,pdf,United States,Georgetown University,HIGHER,21709.0,health_science,assessment,2.0,0.87905,,0,english,94,94
975,2017-05-30,2017-05,373653,docx,United States,"University of California, Irvine",HIGHER,34754.0,biology,assessment,3.0,0.96655,,1,english,95,95
976,2017-11-02,2017-11,337562,pdf,United Kingdom,Oxford University,HIGHER,9250.0,information_systems,assessment,4.0,0.69852,1.0,0,english,96,96
977,2016-09-02,2016-09,12500699,pdf,United States,Ohio State University,HIGHER,64723.0,arts_&_humanities,paper,6.0,0.83694,,0,,97,97
978,2016-07-20,2016-07,55599,pdf,Australia,University of New South Wales,HIGHER,53481.0,economics,assessment,11.0,0.95576,,1,english,98,98
979,2017-11-09,2017-11,195592,docx,United States,Harris-Stowe State University,HIGHER,1780.0,philosophy,paper,3.0,0.95875,,0,english,99,99
980,2017-03-09,2017-03,82490,docx,United States,San Jose State University,HIGHER,32773.0,business,paper,3.0,0.96565,,1,english,100,100
981,2017-12-12,2017-12,17854,docx,United States,Columbia Southern University,HIGHER,21442.0,chemistry,paper,3.0,0.96375,,1,english,101,101
982,2017-08-24,2017-08,11074,docx,United States,Out Of Door Academy-upper School,HIGH,344.0,accounting,assessment,1.0,0.86869,,1,english,102,102
983,2018-01-22,2018-01,664413,pdf,United States,"University of Massachusetts, Amherst",HIGHER,34778.0,computer_science,notes,20.0,0.93651,,1,english,103,103
984,2018-03-24,2018-03,17174,docx,United States,University of Phoenix,HIGHER,212044.0,philosophy,paper,5.0,0.94302,,0,en,104,104
985,2016-11-28,2016-11,19082,docx,Canada,McMaster University,HIGHER,31843.0,finance,notes,4.0,0.96718,,0,english,105,105
986,2017-10-28,2017-10,251904,doc,United States,Mount Hood Community College,HIGHER,15897.0,biology,assessment,3.0,0.96954,,1,english,106,106
987,2017-08-03,2017-08,44032,doc,Mexico,Universidad Tecmilenio (Campus Guadalajara Sur),HIGHER,21000.0,arts_&_humanities,assessment,3.0,0.96483,1.0,0,spanish,107,107
988,2017-11-06,2017-11,16793,docx,United States,MiraCosta College,HIGHER,21028.0,arts_&_humanities,paper,3.0,0.93839,,0,english,108,108
989,2017-10-09,2017-10,93050,pptx,United States,"Metropolitan Community College, Business & Technology",TRADE,22584.0,finance,assessment,22.0,0.9572,,0,english,109,109
990,2017-04-22,2017-04,32421,docx,United States,American Military University,HIGHER,46420.0,business,paper,4.0,0.96502,,1,english,110,110
991,2017-01-31,2017-01,385183,pdf,United States,Jefferson Community and Technical College,HIGHER,16187.0,statistics,assessment,6.0,0.9511,,0,english,111,111
992,2017-04-05,2017-04,26457,docx,United States,West Chester University,HIGHER,19348.0,arts_&_humanities,paper,6.0,0.97346,,0,english,112,112
993,2017-10-28,2017-10,45008,docx,United States,American Public University,HIGHER,46420.0,political_science,paper,4.0,0.96698,,0,english,113,113
994,2018-01-22,2018-01,23589,pdf,Australia,The University of Sydney,HIGHER,59129.0,finance,paper,2.0,0.8256399999999999,,1,english,114,114
995,2017-07-02,2017-07,79492,pdf,Canada,Ryerson University,HIGHER,36347.0,finance,assessment,20.0,0.92432,,0,english,115,115
996,2017-02-26,2017-02,25157,odt,United States,Benjamin N Cardozo High School,HIGH,3510.0,medicine,paper,1.0,0.73752,,0,english,116,116
997,2018-01-23,2018-01,27771,docx,Canada,McGill University,HIGHER,40493.0,computer_science,assessment,1.0,0.95716,,0,english,117,117
998,2018-01-08,2018-01,28677,docx,United States,Southern New Hampshire University,HIGHER,104068.0,sociology,paper,5.0,0.95202,,1,english,118,118
999,2016-12-19,2016-12,6672,docx,United States,Thomas Edison State College,HIGHER,10787.0,geography,notes,2.0,0.95657,,0,english,119,119
1000,2017-01-30,2017-01,30720,doc,Kenya,Dedan Kimathi University of Technology,HIGHER,7500.0,marketing,paper,4.0,0.95377,,0,english,120,120
1001,2017-01-09,2017-01,11726,docx,United States,SUNY Oswego,HIGHER,9566.0,finance,paper,1.0,0.88421,,1,english,121,121
1002,2017-02-13,2017-02,58780,docx,United States,Somerset Community College,HIGHER,8424.0,health_science,paper,1.0,0.65681,,0,english,122,122
1003,2017-03-22,2017-03,197118,docx,United States,Eastern Washington University,HIGHER,15602.0,biology,assessment,10.0,0.96316,1.0,1,english,123,123
1004,2017-03-04,2017-03,357910,pdf,Canada,"University of Toronto, Scarborough",HIGHER,12980.0,anthropology,assessment,13.0,0.91797,1.0,0,english,124,124
1005,2017-10-29,2017-10,597246,pdf,Canada,Dalhousie University,HIGHER,19831.0,economics,assessment,6.0,0.96568,,0,english,125,125
1006,2018-03-22,2018-03,1510368,pdf,United States,"University of California, Riverside",HIGHER,24371.0,biology,notes,13.0,0.9565,,0,en,126,126
1007,2018-01-08,2018-01,22241,pdf,United States,West Broward High School,HIGH,2553.0,history,paper,1.0,0.81881,,0,english,127,127
1008,2017-03-16,2017-03,27959,docx,United States,"University of Maryland, College Park",HIGHER,29273.0,english,paper,3.0,0.97072,,0,english,128,128
1009,2017-11-17,2017-11,114100,docx,United States,"University of Texas, Arlington",HIGHER,59019.0,health_science,paper,1.0,0.93975,,1,english,129,129
1010,2017-05-23,2017-05,741978,pptx,United States,Bellevue University,HIGHER,10975.0,computer_science,paper,14.0,0.92069,,0,english,130,130
1011,2017-12-31,2017-12,880083,pdf,United States,Ohio State University,HIGHER,64723.0,chemistry,paper,7.0,0.93588,,0,english,131,131
1012,2016-10-20,2016-10,16432,docx,United States,Western Oregon University,HIGHER,6238.0,health_science,paper,4.0,0.97262,,1,english,132,132
1013,2016-09-30,2016-09,2955964,pdf,Vietnam,Ho Chi Minh City University of Foreign Languages and Information Technology,HIGHER,15419.0,marketing,paper,26.0,0.88956,,0,english,133,133
1014,2017-10-06,2017-10,1974897,docx,United States,Virginia Tech,HIGHER,34947.0,nursing,assessment,2.0,0.8425799999999999,,0,english,134,134
1015,2018-03-15,2018-03,0,ppt,China,"China University of Petroleum, Beijing",HIGHER,7714.0,mechanical_engineering,assessment,18.0,0.95509,,0,en,135,135
1016,2018-01-04,2018-01,1025446,pdf,United States,University of Delaware,HIGHER,24855.0,accounting,assessment,15.0,0.9197,,1,english,136,136
1017,2017-03-27,2017-03,3914502,pptx,United States,19-21 Transition Academy,HIGH,1921.0,information_systems,paper,45.0,0.76639,,0,english,137,137
1018,2016-11-06,2016-11,16124,docx,United States,"Argosy University, Denver",TRADE,618.0,law,paper,2.0,0.94494,,0,english,138,138
1019,2017-05-01,2017-05,64000,doc,Canada,Ryerson University,HIGHER,36347.0,linguistics,notes,5.0,0.92954,,0,spanish,139,139
1020,2016-12-05,2016-12,303210,pdf,United States,"SUNY, Albany",HIGHER,19834.0,mathematics,assessment,1.0,0.96125,,1,english,140,140
1021,2018-03-30,2018-03,84920,docx,United Kingdom,Guildford College,TRADE,2137.0,biology,paper,1.0,0.8480200000000001,,0,en,141,141
1022,2017-08-17,2017-08,31446,docx,United States,Sterling College,HIGHER,683.0,business,paper,2.0,0.95448,,1,english,142,142
1023,2017-06-14,2017-06,275901,pdf,United States,"University of California, Davis",HIGHER,38778.0,mechanical_engineering,assessment,2.0,0.96218,,1,english,143,143
1024,2016-06-10,2016-06,39509,docx,South Africa,University of Fort Hare,HIGHER,11074.0,law,paper,6.0,0.8886799999999999,,0,english,144,144
1025,2016-11-14,2016-11,28955,pdf,United States,Cornell University,HIGHER,22820.0,economics,notes,2.0,0.97631,,0,english,145,145
1026,2017-03-04,2017-03,17046,xlsx,Australia,Australian Catholic University,HIGHER,3300.0,accounting,assessment,8.0,0.93871,,0,english,146,146
1027,2017-12-04,2017-12,21258,docx,United States,Rio Salado Community College,HIGHER,6086.0,philosophy,paper,5.0,0.95669,,0,english,147,147
1028,2018-03-08,2018-03,122141,pdf,China,HKU,HIGHER,29791.0,economics,paper,40.0,0.89215,,0,en,148,148
1029,2017-03-26,2017-03,15991273,pptx,Canada,Western University,HIGHER,30693.0,geography,assessment,27.0,0.92291,,0,english,149,149
1030,2017-01-25,2017-01,88919,pdf,United States,Oregon State University,HIGHER,36052.0,english,assessment,2.0,0.93771,,1,english,150,150
1031,2017-02-24,2017-02,806108,pdf,Canada,John Diefenbaker Secondary School,HIGH,15120.0,mathematics,assessment,21.0,0.92305,1.0,1,english,151,151
1032,2017-09-29,2017-09,13329,docx,United Kingdom,Metropolitan AZ,HIGHER,2844.0,information_systems,paper,2.0,0.88887,,1,english,152,152
1033,2018-03-26,2018-03,19388,docx,United States,Ashford University,HIGHER,30000.0,finance,paper,2.0,0.95223,,0,en,153,153
1034,2016-11-09,2016-11,61258,docx,Indonesia,Indonesia University of Education,HIGHER,34039.0,business,paper,24.0,0.97912,,0,indonesian,154,154
1035,2017-12-14,2017-12,354050,docx,United States,Butler University,HIGHER,5163.0,biology,paper,2.0,0.73619,,0,english,155,155
1036,2017-01-18,2017-01,35168,pdf,United States,"University of Houston, Downtown",HIGHER,12310.0,mathematics,assessment,2.0,0.94191,1.0,1,english,156,156
1037,2017-10-24,2017-10,293111,pdf,United States,University of Houston,HIGHER,50293.0,information_systems,notes,5.0,,,0,,157,157
1038,2016-08-03,2016-08,84480,doc,Indonesia,University of Brawijaya,HIGHER,55469.0,information_systems,paper,3.0,0.9785,,0,indonesian,158,158
1039,2017-09-27,2017-09,278267,pdf,United States,Mississippi Gulf Coast Community College,HIGHER,12400.0,biology,notes,5.0,0.95866,,0,english,159,159
1040,2017-08-06,2017-08,11167,docx,United States,Out Of Door Academy-upper School,HIGH,344.0,accounting,paper,1.0,0.71201,,0,english,102,102
1041,2016-09-18,2016-09,215033,docx,United States,"DeVry University, Chicago",HIGHER,17936.0,electrical_engineering,assessment,14.0,0.91929,,1,english,160,160
1042,2017-11-02,2017-11,65472,pdf,Canada,Western University,HIGHER,30693.0,accounting,assessment,1.0,0.7480100000000001,,1,english,161,161
1043,2017-07-08,2017-07,2710143,docx,Vietnam,RMIT Vietnam,HIGHER,6090.0,business,paper,155.0,0.86866,,0,english,162,162
1044,2016-09-20,2016-09,541053,docx,United States,Texas A&M University,HIGHER,70245.0,nursing,notes,9.0,0.96613,,0,english,163,163
1045,2017-09-19,2017-09,31232,doc,United States,Lakeland Community College,HIGHER,10630.0,economics,assessment,1.0,0.89141,,0,english,164,164
1046,2016-11-11,2016-11,23702,html,United States,"New York Institute of Technology, Westbury",HIGHER,8554.0,communications,notes,4.0,0.57501,,0,english,165,165
1047,2017-02-04,2017-02,13446,docx,United States,Virginia College,HIGHER,3474.0,accounting,paper,1.0,0.93441,,1,english,166,166
1048,2017-09-08,2017-09,616073,pdf,Canada,Keyano College,HIGHER,571.0,information_systems,notes,52.0,,,0,,167,167
1049,2017-09-21,2017-09,174663,docx,United States,"University of Illinois, Chicago",HIGHER,31879.0,economics,assessment,9.0,0.9694,1.0,0,english,168,168
1050,2016-09-22,2016-09,317837,docx,United States,Indiana Institute of Technology,HIGHER,6899.0,business,paper,4.0,0.96813,,1,english,169,169
1051,2018-02-12,2018-02,65024,doc,United States,Ashford University,HIGHER,30000.0,information_systems,notes,8.0,0.92257,,1,english,170,170
1052,2017-06-11,2017-06,14112,docx,United States,Temple University,HIGHER,43150.0,marketing,paper,1.0,0.97001,,1,english,171,171
1053,2016-10-17,2016-10,1489267,pptx,Australia,University of Wollongong,HIGHER,31464.0,accounting,assessment,32.0,0.9514,,1,english,172,172
1054,2017-09-30,2017-09,3271,sql,United States,"Brigham Young University, Idaho",HIGHER,69458.0,computer_science,assessment,3.0,0.9683,,0,english,173,173
1055,2017-02-01,2017-02,1472,java,United States,Auburn University,HIGHER,30392.0,computer_science,assessment,1.0,0.88225,,0,english,174,174
1056,2017-05-04,2017-05,108871,docx,United States,Pensacola Christian College,TRADE,4882.0,business,paper,2.0,0.97255,,1,english,175,175
1057,2017-04-26,2017-04,5518,h,United States,University of Houston,HIGHER,50293.0,computer_science,assessment,5.0,0.98011,,0,english,176,176
1058,2017-10-13,2017-10,1366529,pdf,United States,University of Southern California,HIGHER,48866.0,economics,paper,20.0,0.8637799999999999,,0,english,177,177
1059,2017-09-04,2017-09,105906,pdf,South Korea,Inha University,HIGHER,20613.0,electrical_engineering,assessment,6.0,0.96778,,0,latin,178,178
1060,2016-12-29,2016-12,24450,xlsx,United States,"Missouri State University, Springfield",HIGHER,27256.0,chemistry,assessment,8.0,0.90132,,0,english,179,179
1061,2017-07-25,2017-07,41863,docx,United States,Park University,HIGHER,11457.0,law,paper,7.0,0.96165,,0,english,180,180
1062,2016-10-04,2016-10,36921,docx,France,Université Paris Dauphine,HIGHER,9550.0,history,paper,6.0,0.97352,,0,french,181,181
1063,2016-07-31,2016-07,18016,docx,United Kingdom,London School of Accountancy & Management,TRADE,15264.0,economics,paper,3.0,0.96639,,0,english,182,182
1064,2017-03-16,2017-03,218969,pdf,United States,"DeVry University, Chicago",HIGHER,17936.0,computer_science,notes,10.0,0.90409,,0,english,183,183
1065,2016-11-19,2016-11,1240776,pdf,United States,University of Florida,HIGHER,52218.0,business,paper,11.0,0.77681,,0,english,184,184
1066,2017-03-23,2017-03,16943,docx,United States,Kennesaw State University,HIGHER,40676.0,industrial_engineering,assessment,2.0,0.96116,1.0,1,english,185,185
1067,2017-10-19,2017-10,148239,pdf,United States,"University of Illinois, Urbana Champaign",HIGHER,50885.0,mechanical_engineering,assessment,4.0,0.96393,,0,english,186,186
1068,2017-11-20,2017-11,16169,docx,Kenya,Kisii University,HIGHER,10000.0,business,assessment,3.0,0.96095,,1,english,187,187
1069,2018-03-06,2018-03,203502,pdf,United States,University of Central Florida,HIGHER,75824.0,biology,syllabi,2.0,0.8729299999999999,,0,en,188,188
1070,2017-01-29,2017-01,7160,docx,United States,Pompano Beach High School,HIGH,1220.0,english,paper,2.0,0.94264,,1,english,189,189
1071,2017-11-27,2017-11,1549748,pdf,Sri Lanka,Sri Lanka Institute of Information Technology,HIGHER,11300.0,computer_science,assessment,228.0,0.80307,,1,english,190,190
1072,2017-05-04,2017-05,116912,docx,United States,Ball State University,HIGHER,26419.0,anatomy,notes,2.0,0.97338,,0,english,191,191
1073,2016-07-24,2016-07,612864,ppt,United States,University Of Chicago,HIGHER,18141.0,business,assessment,11.0,0.96325,,1,english,192,192
1074,2018-02-05,2018-02,14500,docx,United States,Connections - High School Level,HIGH,1.0,philosophy,paper,2.0,0.93348,,0,english,193,193
